Time_Period,Quarter,Year,Autos,Var01,Var02,Var03,Var04,Var05,,,,,,,,,,,
1,Q1,2001,528.633,-1.1,1.4,3.5,6.3,4.2,,,,,,,,,,,
2,Q2,2001,582.067,2.1,5.1,-0.3,1.6,4.4,,,,,,,,,,,
3,Q3,2001,493.700,-1.3,0,9.8,10.1,4.8,,,,,,,,,,,
4,Q4,2001,480.400,1.1,2.3,-4.9,-4.6,5.5,,,,,,,,,,,
5,Q1,2002,448.833,3.7,5.1,10.1,10.9,5.7,,,,,,,,,,,
6,Q2,2002,547.000,2.2,3.8,2,5.2,5.8,,,,,,,,,,,
7,Q3,2002,519.967,2,3.8,-0.5,1.5,5.7,,,,,,,,,,,
8,Q4,2002,423.033,0.3,2.4,1.9,3.8,5.9,,,,,,,,,,,
9,Q1,2003,431.267,2.1,4.6,1.1,4,5.9,,,,,,,,,,,
10,Q2,2003,503.633,3.8,5.1,5.9,6.3,6.1,,,,,,,,,,,
11,Q3,2003,482.667,6.9,9.3,6.7,9.3,6.1,,,,,,,,,,,
12,Q4,2003,406.633,4.8,6.8,1.6,3.3,5.8,,,,,,,,,,,
13,Q1,2004,425.933,2.3,5.9,2.9,6.1,5.7,,,,,,,,,,,
14,Q2,2004,489.467,3,6.6,4,7,5.6,,,,,,,,,,,
15,Q3,2004,460.300,3.7,6.3,2.1,4.5,5.4,,,,,,,,,,,
16,Q4,2004,402.167,3.5,6.4,5.1,8.5,5.4,,,,,,,,,,,
17,Q1,2005,427.133,4.3,8.3,-3.8,-1.8,5.3,,,,,,,,,,,
18,Q2,2005,503.033,2.1,5.1,3.2,6,5.1,,,,,,,,,,,
19,Q3,2005,489.800,3.4,7.3,2.1,6.6,5,,,,,,,,,,,
20,Q4,2005,404.567,2.3,5.4,3.4,6.6,5,,,,,,,,,,,
21,Q1,2006,445.300,4.9,8.2,9.5,11.5,4.7,,,,,,,,,,,
22,Q2,2006,500.767,1.2,4.5,0.6,3.7,4.6,,,,,,,,,,,
23,Q3,2006,472.167,0.4,3.2,1.2,4.1,4.6,,,,,,,,,,,
24,Q4,2006,387.333,3.2,4.6,5.3,4.6,4.4,,,,,,,,,,,
25,Q1,2007,407.600,0.2,4.8,2.6,6.5,4.5,,,,,,,,,,,
26,Q2,2007,485.867,3.1,5.4,0.8,4,4.5,,,,,,,,,,,
27,Q3,2007,437.867,2.7,4.2,1.1,3.4,4.7,,,,,,,,,,,
28,Q4,2007,401.033,1.4,3.2,0.3,4.4,4.8,,,,,,,,,,,
29,Q1,2008,394.033,-2.7,-0.5,2.9,6.5,5,,,,,,,,,,,
30,Q2,2008,455.000,2,4,8.7,13.3,5.3,,,,,,,,,,,
31,Q3,2008,379.500,-1.9,0.8,-8.9,-5.1,6,,,,,,,,,,,
32,Q4,2008,268.467,-8.2,-7.7,2.6,-3.2,6.9,,,,,,,,,,,
33,Q1,2009,233.533,-5.4,-4.5,-0.8,-3,8.3,,,,,,,,,,,
34,Q2,2009,297.033,-0.5,-1.2,2.9,4.7,9.3,,,,,,,,,,,
35,Q3,2009,362.300,1.3,1.2,-4.3,-1.9,9.6,,,,,,,,,,,
36,Q4,2009,293.267,3.9,5.2,-0.5,2.2,9.9,,,,,,,,,,,
37,Q1,2010,295.959,1.7,3.2,0.4,1.8,9.8,,,,,,,,,,,
38,Q2,2010,356.191,3.9,5.8,5.3,5.8,9.6,,,,,,,,,,,
39,Q3,2010,320.490,2.7,4.6,2,3.2,9.5,,,,,,,,,,,
40,Q4,2010,291.194,2.5,4.7,2.8,5.0,9.5,,,,,,,,,,,
41,Q1,2011,347.502,-1.5,0.2,5,8.2,9,,,,,,,,,,,
42,Q2,2011,372.194,2.9,6.0,-0.6,3.5,9.1,,,,,,,,,,,
43,Q3,2011,332.481,0.8,3.3,2.1,4.3,9,,,,,,,,,,,
44,Q4,2011,329.811,4.6,5.2,0.2,1.6,8.6,,,,,,,,,,,
45,Q1,2012,427.229,2.7,4.9,6.7,9.2,8.3,,,,,,,,,,,
46,Q2,2012,460.913,1.9,3.8,3.1,4.4,8.2,,,,,,,,,,,
47,Q3,2012,419.354,0.5,2.7,-0.2,1.1,8,,,,,,,,,,,
48,Q4,2012,399.119,0.1,1.7,10.9,13.3,7.8,,,,,,,,,,,
49,Q1,2013,458.252,2.8,4.4,-15.7,-14.5,7.7,,,,,,,,,,,
50,Q2,2013,495.254,0.8,1.6,2.4,2.5,7.5,,,,,,,,,,,
51,Q3,2013,448.938,3.1,5.1,2.4,3.9,7.2,,,,,,,,,,,
52,Q4,2013,408.608,4,6.1,0.9,2.6,6.9,,,,,,,,,,,
53,Q1,2014,429.484,-0.9,0.7,4.3,6.5,6.7,,,,,,,,,,,
54,Q2,2014,511.533,4.6,7.0,5.3,7.1,6.2,,,,,,,,,,,
55,Q3,2014,483.780,5.2,7.1,4.2,5.5,6.1,,,,,,,,,,,
56,Q4,2014,445.162,2,2.6,5.9,5.7,5.7,,,,,,,,,,,
57,Q1,2015,443.511,3.2,3.2,4.3,2.6,5.6,,,,,,,,,,,
58,Q2,2015,510.629,2.7,5.0,3.8,5.6,5.4,,,,,,,,,,,
59,Q3,2015,475.016,1.6,3.0,1.8,3.2,5.1,,,,,,,,,,,
60,Q4,2015,435.885,0.5,1.3,2.9,3.1,5,,,,,,,,,,,
61,Q1,2016,430.594,0.6,0.8,0.2,0.9,4.9,,,,,,,,,,,
62,Q2,2016,456.592,2.2,4.7,1.9,4.0,4.9,,,,,,,,,,,
63,Q3,2016,430.210,2.8,4.2,0.7,2.5,4.9,,,,,,,,,,,
64,Q4,2016,398.962,1.8,3.8,-1.8,0.1,4.7,,,,,,,,,,,
65,Q1,2017,375.161,1.2,3.3,2.9,5.2,4.7,,,,,,,,,,,
66,Q2,2017,415.538,3.1,4.1,2.7,3.0,4.3,,,,,,,,,,,
67,Q3,2017,393.175,3.2,5.3,0.5,2.1,4.3,,,,,,,,,,,
68,Q4,2017,350.219,2.7,5.0,1.9,5.6,4.1,,,,,,,,,,,
69,Q1,2018,340.552,2.5,4.6,4.0,6.1,4.0,,,,,,,,,,,
70,Q2,2018,363.449,2.8,4.8,2.9,4.8,4.0,,,,,,,,,,,
71,Q3,2018,328.281,2.6,4.7,2.9,4.9,3.9,,,,,,,,,,,
72,Q4,2018,,2.5,4.6,2.8,4.8,3.8,,,,,,,,,,,
73,Q1,2019,,2.3,4.5,2.9,5.0,3.8,,,,,,,,,,,
74,Q2,2019,,2.3,4.4,2.5,4.5,3.8,,,,,,,,,,,
75,Q3,2019,,2.1,4.3,2.4,4.4,3.8,,,,,,,,,,,
76,Q4,2019,,2.0,4.2,2.3,4.4,3.7,,,,,,,,,,,
77,Q1,2020,,2.1,4.2,2.2,4.3,3.8,,,,,,,,,,,
78,Q2,2020,,2.1,4.2,2.3,4.4,3.9,,,,,,,,,,,
79,Q3,2020,,2.1,4.2,2.3,4.4,4.0,,,,,,,,,,,
80,Q4,2020,,2.1,4.2,2.3,4.4,4.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
